pair,protocol.source,protocol.recipient,median_0,median_1,mean_0,mean_1,hpd.lower_0,hpd.lower_1,hpd.upper_0,hpd.upper_1
7,OXON_VeSeq,OXON_VeSeq,1,1,1.6935483870967738,1.8185483870967742,1,1,4,4
8,OXON_VeSeq,OXON_VeSeq,4,1,4.424395161290322,1.9294354838709675,2,1,8,5
9,NORT_ARTIC_3,NORT_ARTIC_3,26,8,26.255040322580648,8.364919354838708,18,3,35,14
10,NORT_ARTIC_3,NORT_ARTIC_3,2,2,2.030241935483871,2.190524193548387,2,2,2,3
11,NORT_ARTIC_3,NORT_ARTIC_3,6,2,5.915322580645162,2.477822580645161,4,2,7,3
12,NORT_ARTIC_3,NORT_ARTIC_3,2,2,2.0100806451612905,2.095766129032258,2,2,2,3
13,NORT_ARTIC_3,NORT_ARTIC_3,22,5,23.069556451612907,5.300403225806452,14,2,31,9
14,NORT_ARTIC_3,NORT_ARTIC_3,30,12,29.85483870967742,12.545362903225806,19,6,39,19
15,NORT_ARTIC_3,NORT_ARTIC_3,19,6,19.35383064516129,6.22076612903226,13,2,27,11
16,NORT_ARTIC_3,NORT_ARTIC_3,19,1,19.138104838709676,1.7983870967741942,11,1,27,4
17,NORT_ARTIC_3,NORT_ARTIC_3,20,1,20.745967741935484,1.7883064516129028,12,1,29,4
18,NORT_ARTIC_3,NORT_ARTIC_3,22,6,22.150201612903224,6.434475806451613,13,2,31,11
19,NORT_ARTIC_3,NORT_ARTIC_3,23,1,23.266129032258064,1.7278225806451613,15,1,32,4
20,NORT_ARTIC_3,NORT_ARTIC_3,10,1,10.427419354838708,1.3034274193548387,6,1,14,2
21,NORT_ARTIC_4,NORT_ARTIC_4,53,15,52.96471774193548,15.65625,40,9,67,23
22,NORT_ARTIC_4,NORT_ARTIC_4,4,1,4.786290322580646,1.698588709677419,2,1,9,4
24,QEUH_ARTIC_4.1,LSPA_ARTIC_4.1,14,3,14.460685483870966,3.375,8,2,20,6
25,NORT_ARTIC_3,NORT_ARTIC_3,6,2,5.818548387096774,2.169354838709677,4,2,8,3
26,NORT_ARTIC_3,NORT_ARTIC_3,4,2,4.426411290322581,2.0181451612903225,3,2,6,2
30,NORT_ARTIC_3,NORT_ARTIC_3,6,7,6.34274193548387,7.326612903225805,3,3,10,12
31,NORT_ARTIC_3,NORT_ARTIC_3,8,7,7.857862903225805,7.366935483870965,4,3,13,12
32,NORT_ARTIC_3,NORT_ARTIC_3,1,2,1.9637096774193545,2.0191532258064524,1,1,5,5
33,NORT_ARTIC_3,NORT_ARTIC_3,10,1,10.569556451612904,1.881048387096774,6,1,16,5
34,OXON_VeSeq,OXON_VeSeq,3,1,3.112903225806451,1.4133064516129026,2,1,6,3
36,NORT_ARTIC_3,NORT_ARTIC_3,37,19,37.381048387096776,19.125,24,11,49,27
37,NORT_ARTIC_3,NORT_ARTIC_3,14,6,14.712701612903226,6.227822580645162,8,3,21,11
38,NORT_ARTIC_4,NORT_ARTIC_4,6,1,5.839717741935483,1.988911290322581,2,1,10,5
39,NORT_ARTIC_4,NORT_ARTIC_4,9,2,9.59274193548387,2.037298387096773,3,1,15,5
44,NORT_ARTIC_3,NORT_ARTIC_3,17,3,16.78326612903226,3.1774193548387095,11,2,23,6
45,NORT_ARTIC_3,NORT_ARTIC_3,12,1,12.071572580645162,1.3629032258064515,8,1,16,3
46,NORT_ARTIC_3,NORT_ARTIC_3,9,2,9.571572580645162,1.9788306451612903,4,1,15,5
47,NORT_ARTIC_3,NORT_ARTIC_3,16,4,16.587701612903224,4.104838709677419,9,2,23,8
50,OXON_VeSeq,OXON_VeSeq,8,1,8.454637096774194,1.7298387096774193,4,1,14,4
51,OXON_VeSeq,OXON_VeSeq,7,1,6.867943548387097,1.7651209677419353,2,1,11,4
52,OXON_VeSeq,OXON_VeSeq,8,1,8.422379032258064,1.6925403225806452,4,1,14,4
53,PHEC_ARTIC_3,PHEC_ARTIC_3,1,1,1.658266129032258,1.71875,1,1,4,4
54,PHEC_ARTIC_3,PHEC_ARTIC_3,1,1,1.6542338709677409,1.6764112903225807,1,1,4,4
55,PHEC_ARTIC_3,PHEC_ARTIC_3,1,1,1.6481854838709675,1.70866935483871,1,1,4,4
60,PHEC_ARTIC_3,PHEC_ARTIC_3,3,2,2.9788306451612905,2.627016129032259,2,2,5,4
61,PHEC_ARTIC_3,NORT_ARTIC_3,6,3,6.24798387096774,3.3407258064516134,3,2,11,6
62,NORT_ARTIC_3,NORT_ARTIC_3,30,18,30.455645161290324,18.088709677419352,19,11,40,26
64,OXON_VeSeq,OXON_VeSeq,2,2,2.002016129032258,2,2,2,2,2
65,OXON_VeSeq,OXON_VeSeq,2,2,2.001008064516129,2,2,2,2,2
66,NORT_ARTIC_3,NORT_ARTIC_3,13,4,13.046370967741936,4.819556451612903,8,2,18,9
68,QEUH_ARTIC_3,QEUH_ARTIC_3,3,3,3.34576612903226,3.474798387096774,2,2,6,7
69,NORT_ARTIC_3,NORT_ARTIC_3,18,7,18.77923387096774,7.700604838709677,10,3,27,13
71,NORT_ARTIC_3,NORT_ARTIC_3,16,2,16.519153225806452,2.7046370967741935,9,2,23,5
72,NORT_ARTIC_3,NORT_ARTIC_3,18,2,17.907258064516128,2.8195564516129026,11,2,26,5
73,QEUH_ARTIC_4.1,QEUH_ARTIC_4.1,11,4,11.051411290322582,3.972782258064516,6,2,15,8
74,NORT_ARTIC_3,NORT_ARTIC_3,20,8,19.92741935483871,8.380040322580644,12,3,27,14
75,PHEC_ARTIC_3,PHEC_ARTIC_3,2,1,2.5120967741935485,1.3366935483870968,2,1,4,3
76,PHEC_ARTIC_3,PHEC_ARTIC_3,2,1,2.6481854838709675,1.3548387096774193,2,1,4,3
77,OXON_VeSeq,OXON_VeSeq,2,1,2.5322580645161294,1.0352822580645162,2,1,4,1
80,NORT_ARTIC_3,NORT_ARTIC_3,6,1,6.680443548387097,1.8649193548387097,3,1,11,4
82,NORT_ARTIC_3,NORT_ARTIC_3,27,16,27.581653225806452,16.140120967741936,18,9,36,23
83,OXON_VeSeq,OXON_VeSeq,1,1,1.8004032258064513,1.8256048387096775,1,1,4,4
86,OXON_VeSeq,OXON_VeSeq,3,1,3.404233870967741,1.5816532258064513,2,1,6,3
87,NORT_ARTIC_3,NORT_ARTIC_3,33,14,33.65625,14.660282258064518,22,7,45,21
90,NORT_ARTIC_3,NORT_ARTIC_3,16,6,16.53326612903226,6.375,10,3,23,11
91,QEUH_ARTIC_3,QEUH_ARTIC_3,13,1,12.763104838709676,1.9596774193548387,6,1,19,5
97,NORT_ARTIC_3,NORT_ARTIC_3,21,5,20.887096774193548,5.149193548387098,14,2,28,9
99,QEUH_ARTIC_4.1,QEUH_ARTIC_4.1,6,3,5.991935483870968,3.275201612903226,5,2,8,6
101,OXON_VeSeq,OXON_VeSeq,4,1,4.369959677419354,1.9143145161290325,2,1,8,5
102,OXON_VeSeq,OXON_VeSeq,4,1,4.205645161290324,1.90725806451613,2,1,8,4
103,NORT_ARTIC_3,NORT_ARTIC_3,27,5,27.715725806451612,5.222782258064518,19,2,38,9
104,PHEC_ARTIC_3,PHEC_ARTIC_3,3,1,3.4879032258064515,1.9254032258064513,2,1,6,5
