Site,Cov_Threshold,Total_Samples
BRBR_ARTIC_4.1_ILLUMINA,1000x,109
BRBR_ARTIC_4.1_ILLUMINA,100x,155
BRBR_ARTIC_4.1_ILLUMINA,10x,161
BRBR_ARTIC_4.1_ILLUMINA,1x,161
LSPA_ARTIC_4.1_ILLUMINA,1000x,1585
LSPA_ARTIC_4.1_ILLUMINA,100x,2024
LSPA_ARTIC_4.1_ILLUMINA,10x,2126
LSPA_ARTIC_4.1_ILLUMINA,1x,2126
MILK_ARTIC_3_ILLUMINA,1000x,207
MILK_ARTIC_3_ILLUMINA,100x,259
MILK_ARTIC_3_ILLUMINA,10x,285
MILK_ARTIC_3_ILLUMINA,1x,286
MILK_ARTIC_3_OXFORD_NANOPORE,1000x,1
MILK_ARTIC_3_OXFORD_NANOPORE,100x,9
MILK_ARTIC_3_OXFORD_NANOPORE,10x,15
MILK_ARTIC_3_OXFORD_NANOPORE,1x,15
MILK_Unknown_OXFORD_NANOPORE,1000x,1
MILK_Unknown_OXFORD_NANOPORE,100x,1
MILK_Unknown_OXFORD_NANOPORE,10x,1
MILK_Unknown_OXFORD_NANOPORE,1x,1
MILK_Unknown_Unknown,100x,1
MILK_Unknown_Unknown,10x,1
MILK_Unknown_Unknown,1x,1
NORT_ARTIC_3_ILLUMINA,1000x,4853
NORT_ARTIC_3_ILLUMINA,100x,7435
NORT_ARTIC_3_ILLUMINA,10x,8754
NORT_ARTIC_3_ILLUMINA,1x,8755
NORT_ARTIC_4.1_ILLUMINA,1000x,6535
NORT_ARTIC_4.1_ILLUMINA,100x,9999
NORT_ARTIC_4.1_ILLUMINA,10x,11893
NORT_ARTIC_4.1_ILLUMINA,1x,11893
NORT_ARTIC_4_ILLUMINA,1000x,10530
NORT_ARTIC_4_ILLUMINA,100x,21266
NORT_ARTIC_4_ILLUMINA,10x,25975
NORT_ARTIC_4_ILLUMINA,1x,25983
NORT_ARTIC_Unknown_ILLUMINA,10x,56
NORT_ARTIC_Unknown_ILLUMINA,1x,82
NORW_ARTIC_4.1_ILLUMINA,1000x,486
NORW_ARTIC_4.1_ILLUMINA,100x,794
NORW_ARTIC_4.1_ILLUMINA,10x,900
NORW_ARTIC_4.1_ILLUMINA,1x,900
OXON_VeSeq_ILLUMINA,1000x,3322
OXON_VeSeq_ILLUMINA,100x,5424
OXON_VeSeq_ILLUMINA,10x,6608
OXON_VeSeq_ILLUMINA,1x,6747
PHEC_ARTIC_3_ILLUMINA,1000x,1938
PHEC_ARTIC_3_ILLUMINA,100x,2305
PHEC_ARTIC_3_ILLUMINA,10x,2349
PHEC_ARTIC_3_ILLUMINA,1x,2349
PHEC_ARTIC_Unknown_ILLUMINA,1000x,1698
PHEC_ARTIC_Unknown_ILLUMINA,100x,2025
PHEC_ARTIC_Unknown_ILLUMINA,10x,2073
PHEC_ARTIC_Unknown_ILLUMINA,1x,2074
QEUH_ARTIC_3_ILLUMINA,1000x,139
QEUH_ARTIC_3_ILLUMINA,100x,165
QEUH_ARTIC_3_ILLUMINA,10x,172
QEUH_ARTIC_3_ILLUMINA,1x,172
QEUH_ARTIC_3_OXFORD_NANOPORE,1000x,5
QEUH_ARTIC_3_OXFORD_NANOPORE,100x,22
QEUH_ARTIC_3_OXFORD_NANOPORE,10x,32
QEUH_ARTIC_3_OXFORD_NANOPORE,1x,32
QEUH_ARTIC_4.1_ILLUMINA,1000x,52758
QEUH_ARTIC_4.1_ILLUMINA,100x,62708
QEUH_ARTIC_4.1_ILLUMINA,10x,64010
QEUH_ARTIC_4.1_ILLUMINA,1x,64018
QEUH_ARTIC_Unknown_ILLUMINA,10x,30
QEUH_ARTIC_Unknown_ILLUMINA,1x,30
QEUH_Unknown_ILLUMINA,1000x,14
QEUH_Unknown_ILLUMINA,100x,20
QEUH_Unknown_ILLUMINA,10x,30
QEUH_Unknown_ILLUMINA,1x,30
SANG_ARTIC_3_ILLUMINA,1000x,346
SANG_ARTIC_3_ILLUMINA,100x,424
SANG_ARTIC_3_ILLUMINA,10x,457
SANG_ARTIC_3_ILLUMINA,1x,458
SANG_ARTIC_4.1_ILLUMINA,1000x,54452
SANG_ARTIC_4.1_ILLUMINA,100x,64887
SANG_ARTIC_4.1_ILLUMINA,10x,66297
SANG_ARTIC_4.1_ILLUMINA,1x,66305
