NORT_ARTIC_3,NORT_ARTIC_4,NORT_ARTIC_4.1,NORW_ARTIC_4.1,OXON_VeSeq,PHEC_ARTIC_3,SANG_ARTIC_3,SANG_ARTIC_4.1,NORT_ARTIC_3_prevalent20pct,NORT_ARTIC_4_prevalent20pct,NORT_ARTIC_4.1_prevalent20pct,NORW_ARTIC_4.1_prevalent20pct,OXON_VeSeq_prevalent20pct,PHEC_ARTIC_3_prevalent20pct,SANG_ARTIC_3_prevalent20pct,SANG_ARTIC_4.1_prevalent20pct,NORT_ARTIC_3_SB,NORT_ARTIC_4_SB,NORT_ARTIC_4.1_SB,NORW_ARTIC_4.1_SB,PHEC_ARTIC_3_SB,SANG_ARTIC_3_SB,SANG_ARTIC_4.1_SB,DeMaio_Mask,DeMaio_Caution,ARTIC_3,ARTIC_4,ARTIC_4.1
7262.0,2832.0,2832.0,1499.0,357.0,291.0,508.0,514.0,7262.0,2832.0,2832.0,2278.0,1072.0,3756.0,514.0,508.0,4181.0,2832.0,2790.0,1178.0,1730.0,445.0,514.0,635.0,76.0,30.0,25.0,25
14041.0,7252.0,4321.0,1510.0,1072.0,295.0,514.0,1476.0,18585.0,7262.0,4321.0,8829.0,2949.0,5260.0,635.0,514.0,5260.0,3731.0,2832.0,1701.0,2839.0,492.0,516.0,1707.0,78.0,31.0,26.0,26
14960.0,7262.0,7200.0,2278.0,2530.0,299.0,544.0,1627.0,18589.0,14041.0,7252.0,8835.0,25628.0,7248.0,1476.0,516.0,5743.0,5743.0,3731.0,2278.0,3037.0,507.0,517.0,1895.0,285.0,32.0,27.0,27
18585.0,8835.0,7252.0,5647.0,2949.0,301.0,549.0,1678.0,18591.0,14960.0,7262.0,13786.0,25807.0,8354.0,2712.0,517.0,5744.0,5744.0,4321.0,2832.0,4181.0,508.0,518.0,2091.0,320.0,33.0,28.0,28
18589.0,14030.0,7262.0,5648.0,3769.0,330.0,635.0,1931.0,18607.0,18591.0,14041.0,13791.0,25949.0,14108.0,2729.0,549.0,19220.0,6148.0,5743.0,3007.0,4237.0,519.0,527.0,2094.0,538.0,34.0,29.0,29
18591.0,14033.0,7267.0,5743.0,11075.0,635.0,683.0,2323.0,18634.0,18607.0,14960.0,14030.0,28469.0,14113.0,2730.0,562.0,21650.0,8393.0,6148.0,5743.0,5248.0,536.0,528.0,2198.0,553.0,35.0,30.0,30
18607.0,14041.0,8835.0,5744.0,11083.0,652.0,1072.0,2369.0,18655.0,18634.0,18591.0,14041.0,,15007.0,13824.0,879.0,21987.0,8835.0,8835.0,5744.0,5260.0,544.0,530.0,2604.0,558.0,36.0,31.0,31
18634.0,14062.0,10995.0,8829.0,12100.0,661.0,1208.0,2712.0,18664.0,18648.0,18607.0,14062.0,,21987.0,20668.0,1072.0,24410.0,14960.0,14030.0,5765.0,7124.0,562.0,532.0,3145.0,660.0,37.0,32.0,32
18643.0,14101.0,13791.0,8835.0,12112.0,683.0,1476.0,2790.0,23118.0,18655.0,18634.0,14960.0,,24410.0,25201.0,1152.0,25614.0,15521.0,14041.0,5766.0,8651.0,826.0,533.0,3564.0,663.0,38.0,33.0,33
18645.0,14960.0,14030.0,10970.0,15009.0,2882.0,1947.0,3877.0,24410.0,18658.0,18648.0,17144.0,,29518.0,25202.0,1182.0,26204.0,19077.0,14960.0,5924.0,9053.0,827.0,536.0,3639.0,759.0,39.0,34.0,34
18648.0,18585.0,14033.0,13481.0,16740.0,2903.0,2712.0,4321.0,25225.0,18664.0,18655.0,18655.0,,,25214.0,1208.0,26207.0,23040.0,15521.0,6148.0,9502.0,828.0,542.0,3778.0,856.0,40.0,35.0,35
18655.0,18589.0,14041.0,13693.0,16960.0,3756.0,2713.0,5146.0,25228.0,18682.0,18658.0,18833.0,,,25216.0,1437.0,28461.0,23048.0,19077.0,8393.0,10029.0,831.0,544.0,4050.0,1001.0,41.0,36.0,36
18658.0,18591.0,14062.0,13786.0,17083.0,5248.0,2729.0,6371.0,25240.0,18688.0,22674.0,23040.0,,,25218.0,1476.0,28916.0,23063.0,19195.0,8829.0,10619.0,833.0,549.0,4221.0,1406.0,42.0,37.0,37
