centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
NORT_ARTIC_4,1675,40,9,6,1,1,56,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,2205,221,216,6,5,2,448,1.0,True,True,False,False,False,True,1.0
NORT_ARTIC_4,2442,14,58,2,2,1,76,0.19316042791168964,True,True,False,True,False,True,1.0
NORT_ARTIC_4,3037,25603,61531,66,188,95,87388,0.26954538135360073,False,False,False,False,False,False,1.0
NORT_ARTIC_4,5386,95985,27338,93,35,84,123451,0.1662841708094039,False,False,False,False,False,False,1.0
NORT_ARTIC_4,5638,52,11,4,3,2,70,0.13738691453219837,True,True,False,True,False,True,1.0
NORT_ARTIC_4,7728,1813,2997,12,35,2,4857,0.09663494882832016,True,False,False,False,False,True,1.0
NORT_ARTIC_4,8393,85583,17374,220,77,84,103254,9.435896473010907e-05,False,False,False,False,False,False,0.007100941000325844
NORT_ARTIC_4,10204,85,29,0,0,1,114,1.0,True,True,True,True,False,True,1.0
NORT_ARTIC_4,10449,98284,89701,52,38,88,188075,0.34226477619270934,False,False,False,False,False,False,1.0
NORT_ARTIC_4,10983,132,590,5,10,2,737,0.1718729814411066,True,True,False,True,False,True,1.0
NORT_ARTIC_4,11537,33918,63697,35,57,84,97707,0.5122951017067597,False,False,False,False,False,False,1.0
NORT_ARTIC_4,12085,47,16,1,0,1,64,1.0,True,True,True,True,False,True,1.0
NORT_ARTIC_4,13195,101862,75196,162,113,82,177333,0.6694021308669479,False,False,False,False,False,False,1.0
NORT_ARTIC_4,13426,12,46,2,3,1,63,0.30669311766211443,True,True,False,True,False,True,1.0
NORT_ARTIC_4,13801,42,8,3,1,1,54,0.5288710549531859,True,True,False,True,False,True,1.0
NORT_ARTIC_4,13888,4236,1386,32,18,4,5672,0.07064209544166024,True,False,False,False,False,True,1.0
NORT_ARTIC_4,14408,67840,38813,298,150,94,107101,0.21858446034314258,False,False,False,False,False,False,1.0
NORT_ARTIC_4,14960,5874,14921,1401,331,40,22527,0.0,False,False,False,False,False,False,0.0
NORT_ARTIC_4,15240,24210,64322,44,109,82,88685,0.7166109281139983,False,False,False,False,False,False,1.0
NORT_ARTIC_4,15734,40,17,4,1,1,62,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,15905,1003,2594,9,24,2,3630,1.0,True,False,False,False,False,True,1.0
NORT_ARTIC_4,16580,10,1,3,0,1,14,1.0,True,True,True,True,False,True,1.0
NORT_ARTIC_4,17522,23,33,2,2,1,60,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,18163,7479,18576,16,36,74,26107,0.7595133516894385,False,False,False,False,False,False,1.0
NORT_ARTIC_4,18691,736,312,13,10,2,1071,0.1703269687780361,True,False,False,False,False,True,1.0
NORT_ARTIC_4,21762,24825,33092,96,156,79,58169,0.14218787206217065,False,False,False,False,False,False,1.0
NORT_ARTIC_4,21846,15578,65939,57,218,88,81792,0.48960339617367066,False,False,False,False,False,False,1.0
NORT_ARTIC_4,22062,3,5,4,3,1,15,0.6192696192696192,True,True,False,True,False,True,1.0
NORT_ARTIC_4,22578,34841,47812,129,168,85,82950,0.6804324050796734,False,False,False,False,False,False,1.0
NORT_ARTIC_4,22673,20414,65217,62,115,82,85808,0.0007629522764282868,False,False,False,False,False,False,0.046439109884362936
NORT_ARTIC_4,22674,19334,63823,119,296,86,83572,0.010364488161035362,False,False,False,False,False,False,0.4124866971012054
NORT_ARTIC_4,22679,19378,63886,25,84,86,83373,1.0,False,False,False,False,False,False,1.0
NORT_ARTIC_4,22686,19102,63842,85,272,86,83301,0.7059437342165931,False,False,False,False,False,False,1.0
NORT_ARTIC_4,23202,18528,52386,3,43,81,70960,0.0011791861089912432,False,False,False,False,False,False,0.06685823705636651
NORT_ARTIC_4,23403,62210,36999,68,30,95,99307,0.20949561141640968,False,False,False,False,False,False,1.0
NORT_ARTIC_4,23525,24888,88589,35,165,87,113677,0.14566522750456856,False,False,False,False,False,False,1.0
NORT_ARTIC_4,23599,14074,65657,13,43,86,79787,0.29131180921502386,False,False,False,False,False,False,1.0
NORT_ARTIC_4,23604,17020,70297,2,20,94,87339,0.28813289957984245,False,False,False,True,False,True,1.0
NORT_ARTIC_4,23948,57932,15405,60,221,83,73618,4.3914300158059884e-94,False,False,False,False,False,False,3.0293548059034977e-91
NORT_ARTIC_4,24130,16808,64550,6,499,81,81863,3.633572363588129e-41,False,False,False,False,False,False,7.915450533100665e-39
NORT_ARTIC_4,24424,27340,99236,56,151,86,126783,0.06270588079744158,False,False,False,False,False,False,1.0
NORT_ARTIC_4,24469,66395,92601,60,229,87,159285,5.5280707650088456e-14,False,False,False,False,False,False,6.72961320481518e-12
NORT_ARTIC_4,24503,63681,83410,428,569,82,148088,0.822476044084051,False,False,False,False,False,False,1.0
NORT_ARTIC_4,24617,18,28,1,2,1,49,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,25000,20606,52254,76,206,83,73142,0.6434629324514118,False,False,False,False,False,False,1.0
NORT_ARTIC_4,25161,3144,1027,34,18,3,4223,0.1060023341000764,True,False,False,False,False,True,1.0
NORT_ARTIC_4,25286,42,17,0,8,1,67,0.00016582567373035973,True,True,True,True,False,True,0.011251679730655063
NORT_ARTIC_4,25763,49,14,5,2,1,70,0.6552858238452008,True,True,False,True,False,True,1.0
NORT_ARTIC_4,26100,68,12,2,2,1,84,0.1276215975011156,True,True,False,True,False,True,1.0
NORT_ARTIC_4,26270,23481,102275,4579,905,69,131240,0.0,False,False,False,False,False,False,0.0
NORT_ARTIC_4,26577,8895,30602,2592,475,83,42564,0.0,False,False,False,False,False,False,0.0
NORT_ARTIC_4,27259,78107,24785,209,57,87,103158,0.3505171104733472,False,False,False,False,False,False,1.0
NORT_ARTIC_4,27763,32,33,3,3,1,71,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,27807,117322,59839,375,221,87,177757,0.09077555196191622,False,False,False,False,False,False,1.0
NORT_ARTIC_4,28262,385,407,6,11,2,809,0.3318232617305194,True,True,False,False,False,True,1.0
NORT_ARTIC_4,28271,83429,108186,197,109,87,191921,2.6789302866048874e-13,False,False,False,False,False,False,2.9967817449344944e-11
NORT_ARTIC_4,28311,82181,103876,256,388,87,186701,0.025955928964459554,False,False,False,False,False,False,0.7114674833370734
NORT_ARTIC_4,28881,42565,53486,146,183,94,96380,1.0,False,False,False,False,False,False,1.0
NORT_ARTIC_4,28882,36793,43475,171,199,86,80638,0.9167311662275418,False,False,False,False,False,False,1.0
NORT_ARTIC_4,28883,37013,43803,16,19,86,80851,1.0,False,False,False,False,False,False,1.0
NORT_ARTIC_4,1020,291,152,5,3,1,451,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4,1289,111,355,3,7,1,476,0.7087259869643864,True,True,False,True,False,True,1.0
