centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
NORW_ARTIC_4.1,2832,8034,88392,72,153,80,96651,5.0085094569317324e-24,False,False,False,False,False,False,2.0925796828595261e-22
NORW_ARTIC_4.1,3037,27549,62240,25,103,93,89917,0.00532166624268734,False,False,False,False,False,False,0.042009282367389
NORW_ARTIC_4.1,3738,32,757,1,18,1,808,0.5513158278670882,True,True,False,True,False,True,1.0
NORW_ARTIC_4.1,5386,258830,51215,316,77,99,310438,0.10293671538964719,False,False,False,False,False,False,0.4430416921167478
NORW_ARTIC_4.1,8393,131065,13825,235,56,95,145181,4.0445583854856405e-07,False,False,False,False,False,False,6.792478935624414e-06
NORW_ARTIC_4.1,10029,71049,289570,104,474,99,361197,0.320192733985176,False,False,False,False,False,False,0.8412425664365131
NORW_ARTIC_4.1,10135,13822,12332,787,728,8,27669,0.5081957337145697,True,False,False,False,False,True,0.9911949771456469
NORW_ARTIC_4.1,10449,170045,173434,89,81,99,343649,0.4901396814997438,False,False,False,False,False,False,0.9781313353203134
NORW_ARTIC_4.1,11364,1812,475,24,6,1,2317,1.0,True,False,False,False,False,True,1.0
NORW_ARTIC_4.1,11537,70796,170683,30,65,98,241574,0.6522949824279456,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,13195,144631,180075,93,158,98,324957,0.01859843329045853,False,False,False,False,False,False,0.12148678194979817
NORW_ARTIC_4.1,13791,57351,6527,5240,869,50,69987,9.003791522099549e-21,False,False,False,False,False,False,3.3529336689905493e-19
NORW_ARTIC_4.1,14030,4490,29978,3,772,18,35243,1.8002694977484676e-41,False,False,False,False,False,False,1.0279538832143751e-39
NORW_ARTIC_4.1,14041,1854,19342,1,973,17,22170,3.0220868632138444e-36,False,False,False,False,False,False,1.6177608739641612e-34
NORW_ARTIC_4.1,14408,42490,40043,59,62,92,82654,0.5854269908317737,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,15240,15656,72172,11,68,94,87907,0.4616145611957943,False,False,False,False,False,False,0.9714321171110512
NORW_ARTIC_4.1,19077,119038,69786,4463,1269,60,194556,1.88055876519278e-125,False,False,False,False,False,False,2.1475981098501547e-123
NORW_ARTIC_4.1,19334,725,133,1,0,1,859,1.0,True,True,True,True,False,True,1.0
NORW_ARTIC_4.1,20407,318,355,0,12,1,685,0.0006033425891011328,True,True,True,False,False,True,0.006301986921525856
NORW_ARTIC_4.1,21762,77226,112694,123,234,98,190277,0.017583123398462797,False,False,False,False,False,False,0.11584573223679527
NORW_ARTIC_4.1,21846,33552,211998,32,273,98,245855,0.11299511865347758,False,False,False,False,False,False,0.47911049072625517
NORW_ARTIC_4.1,22578,23229,32617,26,37,91,55909,1.0,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,22673,10073,50815,15,73,86,60976,0.8858532071592651,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,22674,10057,50177,24,113,85,60371,0.8183791847384269,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,22679,9911,50201,4,33,85,60149,0.5049992830089748,False,False,False,False,False,False,0.99038572610286
NORW_ARTIC_4.1,22686,9800,50163,40,161,85,60164,0.18071006746283616,False,False,False,False,False,False,0.633039561480242
NORW_ARTIC_4.1,22992,38660,3148,58,7,86,41873,0.3398901017738673,False,False,False,True,False,True,0.8512160004950801
NORW_ARTIC_4.1,22995,39070,3766,14,3,87,42853,0.18372367475703008,False,False,False,True,False,True,0.6359769413621419
NORW_ARTIC_4.1,23013,45501,5084,74,7,88,50666,0.8530597398307715,False,False,False,False,False,False,1.0
NORW_ARTIC_4.1,23040,56007,8368,89,53,91,64517,2.48215607214062e-13,False,False,False,False,False,False,6.643645861838878e-12
NORW_ARTIC_4.1,23048,60806,8846,135,50,91,69837,1.834477452393798e-07,False,False,False,False,False,False,3.2733957041151837e-06
NORW_ARTIC_4.1,23055,63146,9193,75,30,91,72444,1.3281304861548799e-05,False,False,False,False,False,False,0.00017500673252179302
NORW_ARTIC_4.1,23063,66390,10738,89,8,91,77225,0.13990001982995515,False,False,False,False,False,False,0.5483952722396181
NORW_ARTIC_4.1,23075,68263,15529,36,13,91,83841,0.14467160965626774,False,False,False,False,False,False,0.5569044209914306
