centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
PHEC_ARTIC_Unknown,1766,1161,1237,11,12,1,2421,1.0,True,False,False,False,False,True,1.0
PHEC_ARTIC_Unknown,3037,190833,251260,54,234,98,442381,2.062809105487246e-18,False,False,False,False,False,False,7.360971439580805e-17
PHEC_ARTIC_Unknown,4181,516756,90923,1193,558,81,609430,2.6823580041064243e-70,False,False,False,False,False,False,3.762700814036184e-68
PHEC_ARTIC_Unknown,4878,7366,5581,0,0,1,12947,1.0,True,False,True,True,False,True,1.0
PHEC_ARTIC_Unknown,5248,4070,65918,15,1214,14,71217,4.527602638841885e-16,False,False,False,False,False,False,1.39532481324309e-14
PHEC_ARTIC_Unknown,5260,6170,83969,39,1933,32,92111,7.078974431220743e-23,False,False,False,False,False,False,3.3100308030121817e-21
PHEC_ARTIC_Unknown,6402,67379,290210,161,936,93,358686,0.0003178357275728938,False,False,False,False,False,False,0.002555248497562316
PHEC_ARTIC_Unknown,7124,244909,27559,427,55,85,272950,0.3264377428900982,False,False,False,False,False,False,0.5563254034674988
PHEC_ARTIC_Unknown,7851,90132,162186,194,489,76,253001,6.162021114969503e-05,False,False,False,False,False,False,0.0005775829929883856
PHEC_ARTIC_Unknown,8344,14769,565,110,5,1,15449,0.6176657945974234,True,False,False,True,False,True,0.8292334416391438
PHEC_ARTIC_Unknown,8832,1117,2750,5,19,1,3891,0.5002870427193424,True,False,False,False,False,True,0.7281458639650393
PHEC_ARTIC_Unknown,8986,835600,51519,1544,188,93,888851,7.654980575365812e-16,False,False,False,False,False,False,2.306700813376898e-14
PHEC_ARTIC_Unknown,9053,219033,225884,769,427,93,446113,1.529698758404885e-25,False,False,False,False,False,False,7.497366926736233e-24
PHEC_ARTIC_Unknown,9969,2923,2142,43,54,1,5162,0.009395595604526814,True,False,False,False,False,True,0.03814499293334838
PHEC_ARTIC_Unknown,10029,84553,319309,207,608,94,404677,0.002197740457889655,False,False,False,False,False,False,0.012197009799038358
PHEC_ARTIC_Unknown,10277,2344,3568,35,79,1,6026,0.053529395378972264,True,False,False,False,False,True,0.14955487869862824
PHEC_ARTIC_Unknown,11083,311462,15556,5240,177,20,332435,8.11162229075817e-08,False,False,False,False,False,False,1.1497588668572904e-06
PHEC_ARTIC_Unknown,11201,290594,459502,801,1136,94,752033,0.01952199240007528,False,False,False,False,False,False,0.06875797842727814
PHEC_ARTIC_Unknown,11332,296462,1230245,80,209,94,1526996,0.0007709591388038535,False,False,False,False,False,False,0.005260566030351092
PHEC_ARTIC_Unknown,14408,529050,278484,172,120,98,807826,0.019222499540190535,False,False,False,False,False,False,0.06793842582927463
PHEC_ARTIC_Unknown,14571,9423,8684,583,1565,2,20255,4.33779601309326e-109,True,False,False,False,False,True,1.2604395843759558e-106
PHEC_ARTIC_Unknown,15451,64502,438774,27,205,96,503508,0.6940299435302717,False,False,False,False,False,False,0.885051351185312
PHEC_ARTIC_Unknown,16466,355378,165489,121,87,97,521075,0.0022299369207298136,False,False,False,False,False,False,0.012258626207471462
PHEC_ARTIC_Unknown,19220,56661,828324,140,1993,84,887118,0.7565192812547641,False,False,False,False,False,False,0.9331474942827108
PHEC_ARTIC_Unknown,21618,34930,98270,12,28,95,133240,0.5910767158781228,False,False,False,False,False,False,0.807150077271636
PHEC_ARTIC_Unknown,21846,12563,14201,48,55,51,26867,1.0,False,False,False,False,False,False,1.0
PHEC_ARTIC_Unknown,21987,12241,8473,3594,3862,59,28170,4.253376096872034e-59,False,False,False,False,False,False,5.407104363148572e-57
PHEC_ARTIC_Unknown,22917,70058,6879,111,33,90,77081,4.1640815489102396e-07,False,False,False,False,False,False,5.627735462115234e-06
PHEC_ARTIC_Unknown,22995,28906,27907,15,5,90,56833,0.04198380026542921,False,False,False,False,False,False,0.12558095549982795
PHEC_ARTIC_Unknown,23403,258039,780338,77,140,98,1038594,0.0005107871884380206,False,False,False,False,False,False,0.0038126280414052614
PHEC_ARTIC_Unknown,23604,378613,143484,258,105,97,522460,0.5564724147044795,False,False,False,False,False,False,0.7776467822115501
PHEC_ARTIC_Unknown,25469,342110,387453,57,74,97,729694,0.48389374012828457,False,False,False,False,False,False,0.7142524437016914
PHEC_ARTIC_Unknown,26060,14469,1481,300,45,2,16295,0.024377083615902316,True,False,False,False,False,True,0.08202313990859439
PHEC_ARTIC_Unknown,26767,108309,291065,19,110,97,399503,0.001021652155305529,False,False,False,False,False,False,0.006628518289924867
PHEC_ARTIC_Unknown,27638,12630,9719,6,5,66,22360,1.0,False,False,False,True,False,True,1.0
PHEC_ARTIC_Unknown,27752,6219,30978,2,10,74,37209,1.0,False,False,False,True,False,True,1.0
PHEC_ARTIC_Unknown,27874,401030,18404,1201,28,92,420663,0.00011533241398820911,False,False,False,False,False,False,0.0010311478244044718
PHEC_ARTIC_Unknown,28461,263289,20931,475,273,68,284968,1.5887035813916836e-113,False,False,False,False,False,False,4.9714201300779766e-111
PHEC_ARTIC_Unknown,28881,53127,71638,15,47,98,124827,0.003014724737071028,False,False,False,False,False,False,0.015563325165488504
PHEC_ARTIC_Unknown,28916,33398,70538,151,754,94,104841,9.791983263386003e-26,False,False,False,False,False,False,4.857779014079788e-24
PHEC_ARTIC_Unknown,29402,212653,23630,151,5,96,236439,0.002893217533719877,False,False,False,False,False,False,0.014993132391302495
PHEC_ARTIC_Unknown,29473,1723,1130,25,7,1,2885,0.04537244740297841,True,False,False,False,False,True,0.1327878532628174
PHEC_ARTIC_Unknown,407,25802,851,905,22,1,27580,0.181117070644151,True,False,False,False,False,True,0.3702433383821137
PHEC_ARTIC_Unknown,611,1802,15497,36,218,1,17553,0.06221389287569906,True,False,False,False,False,True,0.1690622018826612
PHEC_ARTIC_Unknown,728,35859,1873,1579,33,3,39344,3.4900050143759864e-09,True,False,False,False,False,True,5.891012613477806e-08
PHEC_ARTIC_Unknown,794,17862,3290,188,46,1,21386,0.08571698694540653,True,False,False,False,False,True,0.21631309112525668
PHEC_ARTIC_Unknown,863,6185,8453,86,81,1,14805,0.018015558162312602,True,False,False,False,False,True,0.06474142279530712
PHEC_ARTIC_Unknown,896,3308,22165,74,290,1,25837,0.00011259784884137054,True,False,False,False,False,True,0.001013380639572335
PHEC_ARTIC_Unknown,906,25682,135440,343,2032,9,163497,0.04796105036094679,True,False,False,False,False,True,0.1379812962293717
PHEC_ARTIC_Unknown,936,1684,34034,28,510,1,36256,0.6077180347196269,True,False,False,False,False,True,0.82105511964113
PHEC_ARTIC_Unknown,942,4085,51514,95,923,3,56617,0.021302471190570986,True,False,False,False,False,True,0.07331510389445244
PHEC_ARTIC_Unknown,1534,769,6574,16,126,1,7485,0.7814841639099595,True,False,False,False,False,True,0.9462194592198778
PHEC_ARTIC_Unknown,1730,106711,49237,1857,395,21,158200,7.294452616748996e-51,False,False,False,False,False,False,7.237520303642662e-49
PHEC_ARTIC_Unknown,1768,1064,922,25,29,1,2040,0.3336833588337935,True,False,False,False,False,True,0.5651223579250092
PHEC_ARTIC_Unknown,1782,1009,1532,23,32,1,2596,0.7814627930843734,True,False,False,False,False,True,0.9462194592198778
PHEC_ARTIC_Unknown,1804,713,2965,19,45,1,3742,0.05452209373327825,True,False,False,False,False,True,0.15160347047640188
PHEC_ARTIC_Unknown,1843,765,9469,12,133,2,10379,0.6355164763967411,True,False,False,False,False,True,0.8372024047868987
PHEC_ARTIC_Unknown,1867,184,4431,9,106,1,4730,0.05192746826370478,True,False,False,True,False,True,0.14628874023320707
PHEC_ARTIC_Unknown,1871,702,6162,4,324,2,7192,1.2570639518854185e-10,True,False,False,False,False,True,2.506733409936217e-09
PHEC_ARTIC_Unknown,2108,132,354,1,9,1,496,0.3016532439352709,True,True,False,True,False,True,0.5261315588627113
PHEC_ARTIC_Unknown,2237,3981,259,404,11,1,4655,0.0027482568757868824,True,False,False,False,False,True,0.014425688994452951
PHEC_ARTIC_Unknown,2336,13704,4283,1150,116,7,19253,3.2391667261754926e-39,True,False,False,False,False,True,2.5719550684348793e-37
PHEC_ARTIC_Unknown,2384,4325,3402,84,39,2,7850,0.005988622150061634,True,False,False,False,False,True,0.026480124898316006
PHEC_ARTIC_Unknown,2403,2008,1681,110,129,1,3928,0.013114647597686699,True,False,False,False,False,True,0.05056908666103269
PHEC_ARTIC_Unknown,2468,851,3274,25,102,1,4252,0.9112927694398811,True,False,False,False,False,True,1.0
PHEC_ARTIC_Unknown,2839,27066,3359,366,7,15,30798,2.6982482179939466e-11,False,False,False,False,False,False,5.807658069206018e-10
PHEC_ARTIC_Unknown,3057,1462,9545,43,332,1,11382,0.3519426352142774,True,False,False,False,False,True,0.5825699735702794
PHEC_ARTIC_Unknown,3058,1476,9562,26,333,1,11397,0.0004504312988237478,True,False,False,False,False,True,0.0034249617263831886
PHEC_ARTIC_Unknown,3079,1017,10750,25,274,1,12066,1.0,True,False,False,False,False,True,1.0
PHEC_ARTIC_Unknown,3110,467,11582,7,289,1,12345,0.21984735555830076,True,False,False,False,False,True,0.42526820846940916
PHEC_ARTIC_Unknown,3150,293,9267,5,251,1,9816,0.4563372834817965,True,False,False,False,False,True,0.6875481737792399
PHEC_ARTIC_Unknown,3225,20161,417,404,12,1,20994,0.21737719586877577,True,False,False,False,False,True,0.4220956719781288
PHEC_ARTIC_Unknown,3329,6602,4659,155,76,1,11492,0.010173664729803335,True,False,False,False,False,True,0.04089571948699601
PHEC_ARTIC_Unknown,3471,644,20761,2,352,1,21759,0.0037468612565027754,True,False,False,False,False,True,0.01859811037100169
PHEC_ARTIC_Unknown,3585,2564,238,72,4,1,2878,0.4048447647055,True,False,False,False,False,True,0.6348914814271296
PHEC_ARTIC_Unknown,3624,1318,448,21,6,1,1793,0.8261835504278002,True,False,False,False,False,True,0.9784322221660237
PHEC_ARTIC_Unknown,3628,927,603,17,12,1,1559,0.8495012990386458,True,False,False,False,False,True,0.9949379988112863
PHEC_ARTIC_Unknown,3714,999,5301,29,162,3,6491,0.9198128594804409,True,False,False,False,False,True,1.0
PHEC_ARTIC_Unknown,3871,718,43,43,0,1,804,0.16080987038367067,True,True,True,True,False,True,0.3417195657314781
PHEC_ARTIC_Unknown,3955,441,99,20,2,1,562,0.3972933935517885,True,True,False,True,False,True,0.627402765903989
PHEC_ARTIC_Unknown,4196,4131,1605,233,62,1,6031,0.009118283391091522,True,False,False,False,False,True,0.037317079310825264
PHEC_ARTIC_Unknown,4263,10144,45649,257,623,6,56673,3.2646515146987715e-15,True,False,False,False,False,True,9.222640529024029e-14
PHEC_ARTIC_Unknown,4288,4384,24688,21,47,3,29140,0.0009620689946655809,True,False,False,False,False,True,0.006292116833279072
