collection_week,Position,total_samples_1000x,labs_reporting,hits_at_3_pct,hits_at_2_pct,hits_at_4_pct,hits_at_7_pct
01/01/2021,22,19,2,0,0,0,0
01/01/2021,33,18,2,0,0,0,0
01/01/2021,44,19,2,0,0,0,0
01/01/2021,55,19,2,0,0,0,0
01/01/2021,66,17,2,0,0,0,0
01/01/2021,77,18,2,0,0,0,0
01/01/2021,88,19,2,4,5,0,0
01/01/2021,99,17,2,5,5,2,0
08/01/2021,22,36,2,0,0,0,0
08/01/2021,33,36,2,0,0,0,0
08/01/2021,44,30,2,0,0,0,0
08/01/2021,55,36,2,0,0,0,0
08/01/2021,66,36,2,0,0,0,0
08/01/2021,77,33,2,0,0,0,0
08/01/2021,88,36,2,4,5,0,0
08/01/2021,99,35,2,5,5,2,0
15/01/2021,22,563,3,0,0,0,0
15/01/2021,33,563,3,0,0,0,0
15/01/2021,44,563,3,26,40,3,0
15/01/2021,55,563,3,0,0,0,0
15/01/2021,66,563,3,0,0,0,0
15/01/2021,77,563,3,0,0,0,0
15/01/2021,88,563,3,12,31,0,0
15/01/2021,99,563,3,8,12,1,0
