centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
NORT_ARTIC_4.1,428,209,67,8,4,2,288,0.49803738567581657,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,670,49986,45711,352,241,73,96290,0.0005266997737112145,False,False,False,False,False,False,0.020917505298816804
NORT_ARTIC_4.1,2790,12115,53664,167,346,74,66292,2.3101399752912616e-14,False,False,False,False,False,False,1.9623355679001882e-12
NORT_ARTIC_4.1,3037,25364,99326,66,230,96,124986,0.4263318315501942,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,4184,23824,27226,212,238,73,51500,0.8496432711003185,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,4321,3079,11908,5014,766,38,20767,0.0,False,False,False,False,False,False,0.0
NORT_ARTIC_4.1,8221,31,64,1,4,1,100,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,8847,5,14,1,3,1,23,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,9344,25082,19082,132,113,74,44409,0.3658300512271583,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,9424,20808,49977,96,240,75,71121,0.7644305816818916,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,9534,116394,51856,680,302,76,169232,1.0,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,9866,39038,7779,268,71,74,47156,0.04008049867354446,False,False,False,False,False,False,0.6847271784564187
NORT_ARTIC_4.1,10029,31129,87364,72,239,98,118804,0.22080446996457515,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,10198,95203,22257,448,104,75,118012,1.0,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,10447,113099,97892,767,722,76,212480,0.11169468619345688,False,False,False,False,False,False,0.9761073099427413
NORT_ARTIC_4.1,10449,139328,118170,63,32,98,257593,0.01773870010412565,False,False,False,False,False,False,0.38495980943582436
NORT_ARTIC_4.1,10688,75,269,2,7,1,353,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,12273,35944,44278,270,338,27,80830,0.8699760794179715,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,12798,59,222,0,1,1,282,1.0,True,True,True,True,False,True,1.0
NORT_ARTIC_4.1,12880,94020,74978,612,521,75,170131,0.28021527735155005,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,13575,15,13,2,2,1,32,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,14408,88172,50025,279,147,97,138623,0.4801020494890792,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,14960,3732,7452,1092,271,33,12547,2.8969944846536598e-244,False,False,False,False,False,False,1.2655727334386988e-241
NORT_ARTIC_4.1,15700,3633,1376,31,14,4,5054,0.6153660428370636,True,False,False,False,False,True,1.0
NORT_ARTIC_4.1,15714,72623,45769,475,326,74,119193,0.24413641004838546,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,16111,102,302,3,10,1,417,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,17410,113167,25897,783,178,75,140025,0.9668469381900813,False,False,False,False,False,False,1.0
NORT_ARTIC_4.1,18057,10,9,2,2,1,23,1.0,True,True,False,True,False,True,1.0
NORT_ARTIC_4.1,18163,11144,29595,18,35,88,40792,0.28250041214996235,False,False,False,False,False,False,1.0
