centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
SANG_ARTIC_3,952,330,505,1,10,1,846,0.058133079297068964,True,True,False,True,False,True,0.14147555752093047
SANG_ARTIC_3,1444,390825,253205,2437,963,10,647430,9.242884843001118e-41,False,False,False,False,False,False,6.6759552253970065e-40
SANG_ARTIC_3,1491,133,79715,2,906,2,80756,0.6662824208897921,True,False,False,True,False,True,1.0
SANG_ARTIC_3,1493,28,88853,0,750,4,89631,1.0,True,False,True,True,False,True,1.0
SANG_ARTIC_3,3037,520080,886584,283,6566,97,1413513,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_3,3340,75136,72741,451,1758,6,150086,3.898330852261655e-188,True,False,False,False,False,True,5.951163802441545e-187
SANG_ARTIC_3,6374,141387,233350,716,1994,8,377447,2.76086385275813e-35,True,False,False,False,False,True,1.8936055622339829e-34
SANG_ARTIC_3,7484,324,0,22,0,1,346,1.0,True,True,True,True,False,True,1.0
SANG_ARTIC_3,7984,315,112,0,0,1,427,1.0,True,True,True,True,False,True,1.0
SANG_ARTIC_3,9620,434139,854,2802,6,8,437801,0.828233184293693,True,False,False,False,False,True,1.0
SANG_ARTIC_3,10223,490,0,68,0,1,558,1.0,True,True,True,True,False,True,1.0
SANG_ARTIC_3,10702,9101,13049,38,191,3,22379,3.1743265737561824e-15,True,False,False,False,False,True,1.7354874749970558e-14
SANG_ARTIC_3,11208,495102,767749,4196,10408,27,1277455,1.370430014932599e-152,False,False,False,False,False,False,1.8024916019793684e-151
SANG_ARTIC_3,14101,672771,672718,1670,6239,13,1353398,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_3,14120,497,488,0,0,1,985,1.0,True,True,True,True,False,True,1.0
SANG_ARTIC_3,14408,1285860,1296581,1456,1595,98,2585492,0.022459311441437355,False,False,False,False,False,False,0.06127389373948577
SANG_ARTIC_3,14653,389,0,18,0,1,407,1.0,True,True,True,True,False,True,1.0
