centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
SANG_ARTIC_4.1,405,86059,1418,3,0,7,87480,1.0,True,False,True,True,False,True,1.0
SANG_ARTIC_4.1,670,1172503,1151349,660,755,95,2325267,0.004418469281142763,False,False,False,False,False,False,0.01915619082219164
SANG_ARTIC_4.1,879,1220,1103202,2,48759,76,1153183,4.0394257079300966e-20,False,False,False,False,False,False,4.079213672220215e-19
SANG_ARTIC_4.1,1269,1484,17,150,0,1,1651,0.3921775779851514,True,False,True,True,False,True,0.9179803494259958
SANG_ARTIC_4.1,1379,42887,4,409,0,2,43300,1.0,True,False,True,True,False,True,1.0
SANG_ARTIC_4.1,1392,821085,682,12214,0,31,833981,8.127008787117077e-05,False,False,True,False,False,True,0.00047702971424926576
SANG_ARTIC_4.1,1404,400561,123,2704,0,14,403388,1.0,False,False,True,True,False,True,1.0
SANG_ARTIC_4.1,1415,813081,182,7512,1,26,820776,1.0,False,False,False,True,False,True,1.0
SANG_ARTIC_4.1,1426,1172568,405,16872,4,47,1189849,0.6722266495424102,False,False,False,False,False,False,1.0
SANG_ARTIC_4.1,1427,906683,305,7045,1,30,914034,0.7361704538680939,False,False,False,True,False,True,1.0
SANG_ARTIC_4.1,1428,690849,316,21583,5,29,712753,0.1419059078609664,False,False,False,False,False,False,0.40391779432133884
SANG_ARTIC_4.1,1433,1226480,574,26143,0,54,1253197,1.1909390255654704e-05,False,False,True,False,False,True,7.519330563174362e-05
SANG_ARTIC_4.1,1437,1424633,635,43249,1,62,1468518,2.1897226258557082e-07,False,False,False,False,False,False,1.55183436914659e-06
SANG_ARTIC_4.1,1440,544668,248,6443,2,21,551361,1.0,False,False,False,True,False,True,1.0
SANG_ARTIC_4.1,1441,134594,54,1405,3,6,136056,0.02139144308088961,True,False,False,True,False,True,0.07913363737655554
SANG_ARTIC_4.1,1449,1316629,8496,29461,18,56,1354604,8.718956872095959e-57,False,False,False,False,False,False,1.278581704259996e-55
SANG_ARTIC_4.1,1454,1144543,1138317,48375,15062,48,2346297,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_4.1,1457,637315,633833,15717,5174,23,1292039,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_4.1,1458,378488,370532,4550,2965,19,756535,2.2177662105726395e-67,False,False,False,False,False,False,3.490387903043051e-66
SANG_ARTIC_4.1,1459,811959,807108,26896,8214,31,1654177,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_4.1,1460,237899,209205,4146,8748,11,459998,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_4.1,1461,422990,402079,7006,11982,17,844057,0.0,False,False,False,False,False,False,0.0
SANG_ARTIC_4.1,1462,286108,283463,3936,2127,13,575634,2.598596364855531e-116,False,False,False,False,False,False,5.199607782094757e-115
SANG_ARTIC_4.1,1463,739446,727761,6011,8805,28,1482023,7.320036446033039e-126,False,False,False,False,False,False,1.4952598167276217e-124
SANG_ARTIC_4.1,1476,576,1373261,2,115677,80,1489516,1.4370442214670293e-17,False,False,False,False,False,False,1.3886697526115413e-16
