Centre_protocol,mask,positions
NORT_ARTIC_3,1.5%shared_6%MAF,"[7262, 14041, 14960, 18585, 18589, 18591, 18607, 18634, 18643, 18645, 18648, 18655, 18658, 18664, 18682, 21650, 23118, 24410, 25216, 25225, 25228, 25240, 25244, 25247, 25252, 25254, 25269, 25273, 25274, 25277, 25280, 25286, 25296, 25300, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 25614]"
NORT_ARTIC_3,positions_in_over_20pct_masks,"[7262, 18585, 18589, 18591, 18607, 18634, 18655, 18664, 23118, 24410, 25225, 25228, 25240, 25244, 25247, 25252, 25254, 25273, 25274, 25277, 25280, 25286, 25296, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337]"
NORT_ARTIC_4,1.5%shared_4%MAF,"[2832, 7252, 7262, 8835, 14030, 14033, 14041, 14062, 14101, 14960, 18585, 18589, 18591, 18594, 18596, 18603, 18607, 18634, 18637, 18643, 18645, 18648, 18655, 18658, 18664, 18671, 18682, 18684, 18685, 18688, 18692, 18696, 18699, 19077, 23040, 23118, 23466, 23472, 25247, 25254, 25273, 25277, 25286, 25296, 25300, 25308, 25312, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577, 29371]"
NORT_ARTIC_4,positions_in_over_20pct_masks,"[2832, 7262, 14041, 14960, 18591, 18607, 18634, 18648, 18655, 18658, 18664, 18682, 18688, 25277, 25286, 25296, 25312, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577]"
NORT_ARTIC_4.1,1.5%shared_4%MAF,"[2832, 4321, 7200, 7252, 7262, 7267, 8835, 10995, 13791, 14030, 14033, 14041, 14062, 14101, 14960, 15521, 18585, 18589, 18591, 18596, 18603, 18607, 18634, 18637, 18643, 18645, 18648, 18655, 18658, 18662, 18664, 18682, 18685, 18688, 18692, 18696, 18699, 18708, 19077, 22674, 22786, 22792, 23040, 23118, 23466, 23469, 23472, 25240, 25247, 25254, 25277, 25286, 25296, 25300, 25308, 25312, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577, 29371]"
NORT_ARTIC_4.1,positions_in_over_20pct_masks,"[2832, 4321, 7252, 7262, 14041, 14960, 18591, 18607, 18634, 18648, 18655, 18658, 22674, 22786, 23040, 25277, 25286, 25296, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577]"
NORW_ARTIC_4.1,1.5%shared_4%MAF,"[1499, 1510, 2278, 5647, 5648, 5743, 5744, 8829, 8835, 10970, 13481, 13693, 13786, 13791, 13998, 14000, 14013, 14030, 14033, 14041, 14057, 14062, 14078, 14092, 14101, 14113, 14559, 14960, 15338, 16920, 16925, 17144, 18591, 18607, 18634, 18637, 18643, 18645, 18648, 18655, 18658, 18664, 18682, 18688, 18825, 18827, 18833, 19065, 19077, 19209, 19210, 19212, 19214, 19217, 20004, 23040, 23048, 23118, 23466, 23472, 25247, 25254, 25259, 25273, 25277, 25286, 25291, 25296, 25300, 25308, 25312, 25314, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577, 27384]"
NORW_ARTIC_4.1,positions_in_over_20pct_masks,"[2278, 8829, 8835, 13786, 13791, 14030, 14041, 14062, 14960, 17144, 18655, 18833, 23040, 23048, 25277, 25286, 25296, 25300, 25312, 25316, 25323, 25324, 25327, 25331, 25334, 25336, 25337, 26270, 26577]"
OXON_VeSeq,1.5%shared_3%MAF,"[357, 1072, 2530, 2949, 3769, 11075, 11083, 12100, 12112, 15009, 16740, 16960, 17083, 17545, 22135, 25202, 25532, 25627, 25628, 25807, 25949, 26289, 26650, 28253, 28469, 28886]"
OXON_VeSeq,positions_in_over_20pct_masks,"[1072, 2949, 25628, 25807, 25949, 28469]"
