centre_protocol,position,a_major_fw,b_major_rv,c_minor_fw,d_minor_rv,sample_count,total_reads,p_combined,low_sample_flag,low_reads_flag,zero_cell_flag,low_expected_flag,pseudo_count_flag,underpowered_flag,q_value
PHEC_ARTIC_3,492,4431,2952,1251,1592,1,10226,5.447397684657921e-48,True,False,False,False,False,True,3.030473343517591e-46
PHEC_ARTIC_3,3037,210245,218630,35,118,95,429028,3.663853911467512e-11,False,False,False,False,False,False,5.695137624148764e-10
PHEC_ARTIC_3,4181,471813,94505,50,295,85,566663,3.9708485116732264e-173,False,False,False,False,False,False,6.457210579751692e-171
PHEC_ARTIC_3,6402,134977,304799,39,113,94,439928,0.18797636686279254,False,False,False,False,False,False,0.4277524645295408
PHEC_ARTIC_3,7124,292016,39034,58,21,81,331129,0.0002990220303895458,False,False,False,False,False,False,0.0023325925175036893
PHEC_ARTIC_3,8986,574053,53781,78,13,94,627925,0.05960162914351466,False,False,False,False,False,False,0.1802544263367525
PHEC_ARTIC_3,9053,196386,169984,76,11,93,366457,3.286162090125038e-11,False,False,False,False,False,False,5.145886413721726e-10
PHEC_ARTIC_3,10029,136176,362835,27,139,94,499177,0.0011797160691223087,False,False,False,False,False,False,0.007350304723738875
PHEC_ARTIC_3,11201,274563,511658,118,205,93,786544,0.559520099733568,False,False,False,False,False,False,0.8378966570691977
PHEC_ARTIC_3,11332,362728,1083451,80,144,93,1446403,0.00037663433306905664,False,False,False,False,False,False,0.0027742333801671977
PHEC_ARTIC_3,14408,424569,219514,268,175,96,644526,0.01834637389830549,False,False,False,False,False,False,0.07090353641867973
PHEC_ARTIC_3,15451,80348,370827,22,100,97,451297,0.9061112516210659,False,False,False,False,False,False,1.0
PHEC_ARTIC_3,16466,440821,248813,169,93,97,689896,0.8976490840911433,False,False,False,False,False,False,1.0
PHEC_ARTIC_3,19220,88066,688804,155,296,80,777321,5.647206106061106e-38,False,False,False,False,False,False,2.4871236892110784e-36
PHEC_ARTIC_3,19269,1680,12933,6,87,2,14706,0.14280682885294216,True,False,False,False,False,True,0.3494139307813886
PHEC_ARTIC_3,21618,78413,201601,28,45,97,280087,0.06681545426790919,False,False,False,False,False,False,0.1964504455109319
PHEC_ARTIC_3,21647,409,586,0,1,1,996,1.0,True,True,True,True,False,True,1.0
PHEC_ARTIC_3,21987,37812,20228,11638,12190,72,81868,0.0,False,False,False,False,False,False,0.0
PHEC_ARTIC_3,22311,1042,640,1,2,2,1685,0.5616891697142653,True,False,False,True,False,True,0.8403474202236071
PHEC_ARTIC_3,22458,298,300,0,0,1,598,1.0,True,True,True,True,False,True,1.0
PHEC_ARTIC_3,22917,98820,15628,102,32,91,114582,0.0014437373339610503,False,False,False,False,False,False,0.008695329697987636
PHEC_ARTIC_3,22995,45389,42724,18,8,92,88139,0.07895169153837125,False,False,False,False,False,False,0.22453342597006612
PHEC_ARTIC_3,23401,6535,23350,66,208,2,30159,0.37861146957432057,True,False,False,False,False,True,0.6852608276370837
PHEC_ARTIC_3,23403,245676,747079,87,183,97,993025,0.005826607456798924,False,False,False,False,False,False,0.027190834798394983
PHEC_ARTIC_3,23604,302373,152697,174,55,95,455299,0.0020156572235201327,False,False,False,False,False,False,0.011183987849137954
PHEC_ARTIC_3,25469,323556,509844,35,97,97,833532,0.004081347157427406,False,False,False,False,False,False,0.02054278069238461
PHEC_ARTIC_3,26767,186686,342902,38,83,97,529709,0.3935386932330732,False,False,False,False,False,False,0.6966186391135039
PHEC_ARTIC_3,27638,34383,27879,39,7,76,62308,3.682035619112565e-05,False,False,False,False,False,False,0.0003554257214065736
PHEC_ARTIC_3,27752,16974,65875,1,11,79,82861,0.47981889285932455,False,False,False,True,False,True,0.7737125396678963
PHEC_ARTIC_3,27874,305742,33678,64,5,90,339489,0.6848598217002502,False,False,False,False,False,False,0.9310570180542308
PHEC_ARTIC_3,27941,4146,6623,46,54,2,10869,0.14807804382392342,True,False,False,False,False,True,0.3592175095908197
PHEC_ARTIC_3,28461,186500,32023,4299,2255,57,225077,0.0,False,False,False,False,False,False,0.0
PHEC_ARTIC_3,28881,112623,145064,37,99,97,257823,8.832769531069294e-05,False,False,False,False,False,False,0.0008013937677545273
PHEC_ARTIC_3,28916,75111,140091,47,325,94,215574,3.0664182365377786e-22,False,False,False,False,False,False,8.529484410580084e-21
PHEC_ARTIC_3,29402,334865,63206,122,8,96,398201,0.001111363554991115,False,False,False,False,False,False,0.006992329033485766
PHEC_ARTIC_3,526,49376,39542,688,608,6,90214,0.08093300112544964,True,False,False,False,False,True,0.22842772280267096
PHEC_ARTIC_3,1942,1545,1615,5,0,1,3165,0.02807748041793972,True,False,True,True,False,True,0.09975763630844466
PHEC_ARTIC_3,5401,3062,2172,4,4,1,5242,0.7256189972430931,True,False,False,True,False,True,0.9640557996398275
PHEC_ARTIC_3,5437,11350,4651,78,9,3,16088,4.2397948062140574e-05,True,False,False,False,False,True,0.00040373541533047374
PHEC_ARTIC_3,7768,1682,706,1,0,1,2389,1.0,True,False,True,True,False,True,1.0
PHEC_ARTIC_3,9817,732,1571,0,0,1,2303,1.0,True,False,True,True,False,True,1.0
PHEC_ARTIC_3,22314,5404,1280,7,0,4,6691,0.3593334041557271,True,False,True,True,False,True,0.6634330274106612
PHEC_ARTIC_3,24386,491,1148,0,2,1,1641,1.0,True,False,True,True,False,True,1.0
PHEC_ARTIC_3,28086,276,1704,28,102,1,2110,0.020367932001792485,True,False,False,False,False,True,0.07655857275992443
PHEC_ARTIC_3,28378,6139,19918,1684,4765,4,32506,2.018022030340222e-05,True,False,False,False,False,True,0.00020508102903303511
PHEC_ARTIC_3,7798,6863,2800,43,24,1,9730,0.22526164030612228,True,False,False,False,False,True,0.4894173767802081
PHEC_ARTIC_3,7851,85576,117409,142,208,71,203335,0.5880867140395413,False,False,False,False,False,False,0.85916745921188
